DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,V Total,A Total,W Total,S Total,Q Total,PF Total,kWh
2017-04-12 20:37:21,244.61,43.3289,9561.73,10598.682229,4572.24063216498,0.9021621550118086,239.25,23.02,4932.16,5507.535,2450.865053532119,0.8955294882374782,242.7,30.9508,6216.84,7511.75916,4216.328508577562,0.8276143933240799,242.18666666666664,97.2997,20710.73,23617.976389,11352.289265978972,0.8769053562796328,2813924.83
2017-04-12 20:42:21,244.76,29.8771,6146.31,7312.718996,3962.162603725298,0.8404958543275058,239.23,23.1236,4914.01,5531.858827999999,2540.4660621274843,0.8883108106677087,242.47,30.9452,6145.55,7503.282644,4304.8188850695715,0.8190481808537879,242.15333333333334,83.9459,17205.87,20347.860468,10862.479604965763,0.8455861994463132,2813926.41
2017-04-12 20:47:21,244.8,35.3332,7479.54,8649.56736,4344.133619443278,0.8647299556957263,239.35,24.3601,5173.39,5830.589935,2689.20339469206,0.8872841440872141,242.61,32.3903,6434.46,7858.210683000001,4511.00871721784,0.8188199909070826,242.25333333333333,92.08359999999999,19087.39,22338.367978000002,11604.92252918717,0.8544666297376005,2813927.79
2017-04-12 20:52:21,245.01,31.822,6875.55,7796.7082199999995,3676.3393838593797,0.8818529315183223,239.48,20.1453,4290.45,4824.396444,2206.0915317320464,0.8893236801332821,242.95,28.0472,5648.53,6814.067239999999,3811.2492952234456,0.828951315132605,242.48000000000002,80.0145,16814.53,19435.171904,9746.665471694972,0.8651598289459617,2813929.44
2017-04-12 20:57:21,244.78,32.3333,6599.44,7914.545174000001,4368.914853563378,0.8338369236528915,239.29,24.924,5251.68,5964.0639599999995,2826.6439635318193,0.8805539369165318,242.55,33.0708,6550.53,8021.32254,4629.489389750457,0.816639646060162,242.20666666666668,90.3281,18401.649999999998,21899.931674,11873.76455061193,0.8402606124039544,2813930.79
2017-04-12 21:02:21,244.64,34.5047,7584.58,8441.229808,3705.199980442044,0.8985159950048833,239.21,19.6216,4225.49,4693.682936,2043.500370344372,0.9002504126537787,242.76,27.4103,5523.35,6654.124427999999,3710.7919209794436,0.8300641293628663,242.20333333333335,81.53659999999999,17333.42,19789.037172,9547.698324643372,0.8759102249060143,2813932.31
2017-04-12 21:07:21,244.66,48.9908,10678.21,11986.089128,5444.461753034897,0.8908835806214105,239.16,27.298,5761.08,6528.589679999999,3071.2278397088185,0.8824386708891775,242.98,35.4772,6988.16,8620.250056,5047.21020390156,0.8106678987967398,242.26666666666665,111.76599999999999,23427.45,27134.928863999998,13691.564956272901,0.8633687642012313,2813934.06
2017-04-12 21:12:21,244.78,33.8698,6957.32,8290.649644,4508.943328226394,0.8391766989014016,239.15,26.4566,5593.77,6327.0958900000005,2956.666972852184,0.8840975539569387,242.63,34.2521,6686.48,8310.587023,4935.265127270876,0.8045737300499717,242.18666666666664,94.57849999999999,19237.57,22928.332557,12474.948270012435,0.8390304856306171,2813935.77
2017-04-12 21:17:21,244.68,37.2665,7824.18,9118.36722,4682.609110994694,0.8580680960993365,239.06,27.2915,5810.36,6524.30599,2967.53859647181,0.8905713510227315,242.55,35.5837,7040.67,8630.826435,4992.00670093649,0.8157584969439835,242.09666666666666,100.14169999999999,20675.21,24273.499645000004,12717.64429726336,0.8517605743866768,2813937.39
2017-04-12 21:22:21,244.8,37.4988,8088.84,9179.706240000001,4340.238945852515,0.8811654521964309,239.04,24.5989,5246.38,5880.121056,2655.43226778891,0.8922231277273894,242.81,32.6052,6430.81,7916.868612000001,4617.520044739472,0.8122921214395922,242.2166666666667,94.7029,19766.030000000002,22976.695908,11714.632426491407,0.8602642468327174,2813939.2
