DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,V Total,A Total,W Total,S Total,Q Total,PF Total,kWh
2017-05-01 00:25:37,243.94,29.1712,6538.34,7116.0225279999995,2808.5381719683824,0.9188194632989224,238.64,6.3737,1278.49,1521.019768,823.9929942340374,0.8405479185067369,241.95,17.3859,3455.18,4206.518505,2399.2767869729905,0.8213870914612795,241.51,52.9308,11272.01,12843.560801,6156.203749786369,0.8776390110694505,2855790.58
2017-05-01 00:30:37,244.39,18.3975,4017.94,4496.165025,2017.835000299393,0.8936371280099977,239,3.4159,895.74,895.74,0,1,242.15,14.868,3044.01,3600.2862,1922.514978305875,0.8454911167895486,241.84666666666666,36.681400000000004,7957.6900000000005,8992.191225,4187.442285078923,0.8849556021313371,2855791.41
2017-05-01 00:35:37,244.66,19.0223,4068.26,4653.9959180000005,2260.296125988952,0.8741434396763044,239.31,4.9226,1076.08,1178.027406,479.3750127896624,0.9134592238849832,242.36,16.1265,3238.94,3908.41854,2187.465007769435,0.8287085855446792,242.11,40.0714,8383.28,9740.441864,4959.518539895158,0.8606673205436423,2855792.12
2017-05-01 00:40:37,244.8,28.4454,6420.03,6963.43392,2696.780813730804,0.9219632258677338,239.52,5.5382,1169.26,1326.509664,626.4654348688302,0.8814560735834941,242.85,16.6632,3330.9,4046.65812,2297.9441094513013,0.8231236494967359,242.39000000000001,50.6468,10920.19,12336.601704,5739.441781831722,0.8851862337793767,2855792.86
2017-05-01 00:45:37,245.37,17.4666,3781.27,4285.779642,2017.4003883418013,0.8822828786958897,240.04,3.4278,899.95,899.95,0,1,243.04,14.9036,3044.56,3622.170944,1962.3396122888237,0.8405345984686912,242.81666666666663,35.798,7725.780000000001,8807.900586,4229.82696152681,0.8771420527020922,2855793.66
2017-05-01 00:50:37,245.97,17.7352,3815.09,4362.327144,2115.416366387288,0.8745538502877583,240.6,3.8558,942.86,942.86,0,1,243.61,15.1806,3070.16,3698.145966,2061.6501061630397,0.8301889725896232,243.39333333333335,36.7716,7828.11,9003.33311,4447.549990446681,0.8694679963918385,2855794.36
2017-05-01 00:55:37,245.74,29.7437,6701.1,7309.216838,2918.888414260249,0.9168013685353468,240.55,6.3096,1265.5,1517.77428,837.9430261238044,0.8337866945538173,243.76,17.3751,3439.79,4235.354376,2471.046629710243,0.8121610837317098,243.35,53.428399999999996,11406.39,13062.345494000001,6365.464395668407,0.8732267880404296,2855795.12
2017-05-01 01:00:37,246.32,17.7432,3826.96,4370.505024,2110.850852904876,0.8756333602146203,241.02,3.8235,955.85,955.85,0,1,243.85,15.2364,3093.64,3715.39614,2057.5616704067215,0.8326541459990858,243.73000000000002,36.8031,7876.450000000001,9041.751164000001,4440.135077809611,0.8711199696979407,2855795.89
2017-05-01 01:05:37,246.2,17.5189,3796.86,4313.153179999999,2046.2513273163947,0.8802979726307798,241.02,3.4472,903.54,903.54,0,1,243.81,14.9502,3047.49,3645.0082620000003,1999.7224632304017,0.8360721789771349,243.67666666666665,35.9163,7747.889999999999,8861.701442,4301.1571693028,0.8743117843351058,2855796.58
2017-05-01 01:10:37,246.6,27.5199,6289.83,6786.40734,2548.207832086283,0.9268276548810876,241.47,3.8616,956.64,956.64,0,1,244.48,15.2968,3096.25,3739.7616639999997,2097.3920093830925,0.8279270922009216,244.1833333333333,46.6783,10342.720000000001,11482.809003999999,4988.290851979607,0.9007134052649616,2855797.38
